Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,TSLA
2024-10-14,230.00555419921875,187.5399932861328,40.73470687866211,164.1283721923828,216.88868713378906,588.5692749023438,415.2396240234375,71.30000305175781,138.0227508544922,219.16000366210938
2024-10-15,232.54127502441406,187.69000244140625,40.95825958251953,164.62583923339844,217.7798309326172,584.4323120117188,414.8432922363281,70.5979995727539,131.55496215820312,219.57000732421875
2024-10-16,230.48284912109375,186.88999938964844,41.59975051879883,164.32736206054688,219.00392150878906,574.9820556640625,412.2476806640625,70.19999694824219,135.6735382080078,221.3300018310547
2024-10-17,230.8507843017578,187.52999877929688,41.405357360839844,162.1085662841797,219.7677459716797,575.1216430664062,412.84210205078125,68.76499938964844,136.8831329345703,220.88999938964844
2024-10-18,233.68484497070312,188.99000549316406,41.13321304321289,162.5961456298828,220.6980438232422,574.6630859375,414.2686767578125,76.38899993896484,137.9527587890625,220.6999969482422
2024-10-21,235.15655517578125,189.07000732421875,40.58891296386719,163.24285888671875,218.37718200683594,573.3571166992188,414.8829040527344,77.20700073242188,143.6608123779297,218.85000610351562
2024-10-22,234.54002380371094,189.6999969482422,41.113773345947266,164.3074493408203,219.4739532470703,580.1857299804688,423.5317077636719,76.42400360107422,143.5408477783203,217.97000122070312
2024-10-23,229.4685516357422,184.7100067138672,41.152652740478516,161.9593505859375,218.77867126464844,561.923095703125,420.6488037109375,74.92900085449219,139.51222229003906,213.64999389648438
2024-10-24,229.27963256835938,186.3800048828125,41.45396041870117,161.899658203125,220.31614685058594,566.0003662109375,420.777587890625,75.45500183105469,140.3619384765625,260.4800109863281
2024-10-25,230.11492919921875,187.8300018310547,40.715267181396484,164.43679809570312,217.70147705078125,571.453125,424.16571044921875,75.46800231933594,141.49154663085938,269.19000244140625
2024-10-28,232.0937957763672,188.38999938964844,41.42479705810547,165.87948608398438,220.8253631591797,576.3477172851562,422.6202392578125,74.91200256347656,140.47190856933594,262.510009765625
2024-10-29,232.36228942871094,190.8300018310547,41.33732223510742,168.82456970214844,218.2792510986328,591.42041015625,427.9303894042969,75.94400024414062,141.20164489746094,259.5199890136719
2024-10-30,228.81227111816406,192.72999572753906,41.123497009277344,173.58047485351562,219.75796508789062,589.9449462890625,428.5049743652344,75.3740005493164,139.29229736328125,257.54998779296875
2024-10-31,224.6457061767578,186.39999389648438,40.64723587036133,170.24732971191406,217.31954956054688,565.8009643554688,402.568603515625,75.60299682617188,132.7145538330078,249.85000610351562
2024-11-01,221.66249084472656,197.92999267578125,40.58891296386719,170.42645263671875,218.3184356689453,565.3822021484375,406.5511779785156,75.61000061035156,135.35365295410156,248.97999572753906
2024-11-04,220.76751708984375,195.77999877929688,40.17097473144531,168.38677978515625,215.22393798828125,558.9225463867188,404.6589660644531,75.5510025024414,136.00343322753906,242.83999633789062
2024-11-05,222.199462890625,199.5,40.70554733276367,168.88427734375,216.8984832763672,570.6356811523438,407.6310119628906,76.39099884033203,139.8621063232422,251.44000244140625
2024-11-06,221.4735565185547,207.08999633789062,44.136558532714844,175.6201171875,241.9384002685547,570.2568969726562,416.2698669433594,78.02100372314453,145.56015014648438,288.5299987792969
2024-11-07,226.20692443847656,210.0500030517578,43.51450729370117,179.83876037597656,231.4798126220703,589.8453369140625,421.47100830078125,79.65399932861328,148.82904052734375,296.9100036621094
2024-11-08,225.93814086914062,208.17999267578125,43.86441421508789,177.4508514404297,232.06735229492188,587.4927368164062,418.6079406738281,79.50399780273438,147.5794677734375,321.2200012207031
2024-11-11,223.22042846679688,206.83999633789062,44.78776931762695,179.44078063964844,234.32949829101562,581.342041015625,414.1200866699219,80.54399871826172,145.21026611328125,350.0
2024-11-12,223.22042846679688,208.91000366210938,44.573936462402344,180.70436096191406,234.59388732910156,582.9868774414062,419.0933532714844,81.94999694824219,148.23922729492188,328.489990234375
2024-11-13,224.10641479492188,214.10000610351562,44.583656311035156,177.9781951904297,236.16073608398438,578.1820068359375,421.2431640625,83.0469970703125,146.2199249267578,330.239990234375
2024-11-14,227.19244384765625,211.47999572753906,44.612815856933594,174.69482421875,236.85598754882812,575.350830078125,422.91748046875,83.72599792480469,146.70974731445312,311.17999267578125
2024-11-15,223.98695373535156,202.61000061035156,45.43898010253906,171.62042236328125,240.2246856689453,552.34326171875,411.13812255859375,82.39600372314453,141.93138122558594,320.7200012207031
2024-11-18,226.9933624267578,201.6999969482422,45.40982437133789,174.41624450683594,239.95050048828125,552.6622314453125,411.8910217285156,84.70500183105469,140.1020050048828,338.739990234375
2024-11-19,227.25218200683594,204.61000061035156,45.108516693115234,177.22201538085938,238.05072021484375,559.331298828125,413.9021301269531,87.13200378417969,146.9596710205078,346.0
2024-11-20,227.96896362304688,202.8800048828125,44.768333435058594,175.09278869628906,235.78860473632812,563.7474365234375,411.62353515625,88.38500213623047,145.84005737304688,342.0299987792969
2024-11-21,227.49111938476562,198.3800048828125,45.15711212158203,166.784912109375,239.68609619140625,561.3250122070312,409.8466491699219,89.74800109863281,146.6197967529297,339.6400146484375
2024-11-22,228.8350372314453,197.1199951171875,45.68197250366211,163.9293670654297,243.39752197265625,557.3873291015625,413.9464111328125,89.77899932861328,141.90139770507812,352.55999755859375
2024-11-25,231.82151794433594,201.4499969482422,46.16794967651367,166.80479431152344,245.10145568847656,563.338623046875,415.7232971191406,86.55899810791016,135.9734344482422,338.5899963378906
